Interval|"ms"|0|0|1,Utc|"ms"|0|0|1,AccelX|"G"|-3.0|3.0|50,AccelY|"G"|-3.0|3.0|50,AccelZ|"G"|-3.0|3.0|50,Yaw|"Deg/Sec"|-120|120|50,Pitch|"Deg/Sec"|-120|120|50,Roll|"Deg/Sec"|-120|120|50,FTTS1|""|0.0|1000.0|50,FTTS2|""|0.0|1000.0|50,FTTS3|""|0.0|1000.0|50,FTTS4|""|0.0|1000.0|50,FR|""|0.0|1000.0|50,TPS|""|0.0|1000.0|50,FBPS|""|0.0|1000.0|50,STR|""|0.0|1000.0|50,MPUAccX|""|-20.0|20.0|50,MPUAccY|""|-20.0|20.0|50,MPUAccZ|""|-20.0|20.0|50,YawMPU|""|-20.0|20.0|50,PitchMPU|""|-20.0|20.0|50,RollMPU|""|-20.0|20.0|50, RSTR|""|0.0|1000.0|50, RL|""|0.0|1000.0|50, RBPS|""|0.0|1000.0|50, RR |""|0.0|1000.0|50,Latitude|"Degrees"|-180.0|180.0|10,Longitude|"Degrees"|-180.0|180.0|10,Speed|"mph"|0.0|150.0|10,Altitude|"ft"|0.0|4000.0|10,GPSSats|""|0|20|10,LapCount|""|0|0|10,LapTime|"Min"|0.0|0.0|10,Sector|""|0|0|10,SectorTime|"Min"|0.0|0.0|10,PredTime|"Min"|0.0|0.0|10,ElapsedTime|"Min"|0.0|0.0|10,CurrentLap|""|0|0|10
2166277,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.96,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166297,1.58E+12,0.94,0.05,-0.08,0,0,0,0,0,0,0,0,0.91,1.44,2.96,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166317,1.58E+12,0.93,0.05,-0.08,0,0,0,0,0,0,0,0,0.91,1.45,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166337,1.58E+12,0.94,0.05,-0.08,0,0,0,0,0,0,0,0,0.91,1.45,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166357,1.58E+12,0.94,0.06,-0.08,0,-1,0,0,0,0,0,0,0.91,1.45,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166377,1.58E+12,0.93,0.06,-0.07,0,0,0,0,0,0,0,0,0.91,1.45,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166397,1.58E+12,0.93,0.06,-0.06,0,0,0,0,0,0,0,0,0.91,1.45,2.95,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166417,1.58E+12,0.94,0.06,-0.08,0,0,0,0,0,0,0,0,0.99,1.44,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166437,1.58E+12,0.95,0.06,-0.08,0,0,0,0,0,0,0,0,0.99,1.44,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166457,1.58E+12,0.95,0.06,-0.07,0,0,0,0,0,0,0,0,0.99,1.44,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166477,1.58E+12,0.95,0.06,-0.06,0,0,0,0,0,0,0,0,0.99,1.44,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166497,1.58E+12,0.95,0.05,-0.07,0,0,0,0,0,0,0,0,0.99,1.44,3.05,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166517,1.58E+12,0.94,0.05,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166537,1.58E+12,0.94,0.06,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166557,1.58E+12,0.93,0.06,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166577,1.58E+12,0.93,0.06,-0.07,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166597,1.58E+12,0.92,0.06,-0.08,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166617,1.58E+12,0.92,0.06,-0.08,0,0,0,0,0,0,0,0,1,1.44,3.04,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166637,1.58E+12,0.92,0.07,-0.09,0,0,0,0,0,0,0,0,1,1.44,3.04,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166657,1.58E+12,0.91,0.07,-0.09,0,0,0,0,0,0,0,0,1,1.44,3.04,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
